carro|rodas,viagem,motor,estrada,combustível
pastel|frito,recheio,crocante,feira,lanche
coxinha|massa,recheio,frito,frango,lanche
empada|massa,recheio,forno,pequeno,lanche
pudim|doce,cremoso,ovo,calda,sobremesa
gelatina|tremido,doce,colorido,leve,sobremesa
brigadeiro|doce,chocolate,bola,festa,leite
farofa|seco,acompanhamento,farinha,tempero,brasil
polenta|milho,cremoso,quente,prato,simples
feijoada|feijão,carne,caldo,tradicional,brasil
Paris|torre,romance,europa,arte,frança
Nova York|arranha-céu,táxi,eua,metrópole,central
Londres|rainha,ônibus,neblina,reino unido,ponte
Roma|antigo,ruínas,italia,história,império
Tóquio|tecnologia,neon,japão,moderno,metrô
Barcelona|praia,arte,espanha,arquitetura,turismo
Lisboa|bonde,colinas,portugal,oceano,azulejo
Madri|capital,espanha,futebol,sol,praça
Dubai|luxo,deserto,arranha-céu,moderno,riqueza
Sydney|ópera,praia,austrália,porto,mar
Los Angeles|cinema,hollywood,praia,eua,sol
Miami|praia,calor,eua,oceano,latino
Las Vegas|cassino,neon,eua,jogo,noite
Chicago|vento,lago,eua,frio,arquitetura
Rio de Janeiro|praia,carnaval,cristo,brasil,calor
São Paulo|metrópole,trânsito,brasil,negócios,grande
Buenos Aires|tango,argentina,cultura,capital,dança
Cancún|praia,méxico,turismo,mar,calor
Orlando|parque,diversão,eua,turismo,família
Veneza|canais,gôndola,italia,água,romance
Amsterdã|bicicleta,canais,holanda,europa,liberal
Berlim|história,muro,alemanha,capital,europa
Atenas|antigo,grécia,templo,história,ruínas
Cairo|pirâmide,egito,deserto,história,nilo
Cidade do México|capital,méxico,cultura,grande,américa
Toronto|canadá,frio,cidade,moderna,torre
Seul|tecnologia,coreia,moderna,capital,cultura
Bangkok|templo,calor,tailândia,mercado,turismo
Istambul|ponte,turquia,história,continentes,cultura
Florença|arte,italia,renascimento,museu,cultura
tesoura|cortar,lâmina,mão,papel,abrir
martelo|prego,bater,metal,ferramenta,força
chave de fenda|parafuso,girar,ferramenta,metal,aperto
furadeira|girar,furo,elétrica,parede,barulho
serrote|cortar,madeira,dentes,ferramenta,manual
parafuso|rosca,fixar,metal,girar,peça
prego|metal,bater,fixar,madeira,pequeno
cola|grudar,fixar,líquido,material,união
fita|colar,fixar,rolo,adesivo,uso
grampeador|papel,fixar,metal,pressão,escritório
clipe|papel,juntar,metal,pequeno,organizar
caderno|anotar,páginas,escola,escrever,folhas
agenda|datas,anotar,planejar,tempo,organização
quadro|parede,imagem,moldura,decorar,arte
tapete|chão,tecido,decorar,pisar,conforto
cortina|janela,tecido,privacidade,luz,pendurar
ventilador|ar,vento,girar,refrescar,elétrico
ar-condicionado|frio,ambiente,controle,temperatura,elétrico
aquecedor|calor,ambiente,inverno,temperatura,elétrico
extensão|tomada,cabo,energia,ligar,elétrico
carregador|energia,cabo,ligar,bateria,elétrico
bateria|energia,carga,dispositivo,elétrico,armazenar
pilha|energia,pequeno,dispositivo,carga,portátil
caixa de ferramentas|guardar,ferramenta,organizar,metal,uso
balde|água,carregar,plástico,limpeza,recipiente
vassoura|varrer,limpeza,chão,cerdas,uso
rodo|água,puxar,limpeza,chão,secar
pá|recolher,limpeza,sujeira,uso,chão
lixeira|descartar,lixo,recipiente,limpeza,uso
saco|guardar,plástico,carregar,leve,armazenar
guarda-chuva|chuva,proteger,abrir,fechar,água
óculos|visão,lente,rosto,proteção,uso
capacete|proteção,cabeça,segurança,uso,impacto
luva|mão,proteção,vestir,uso,segurança
cinto|segurar,calça,ajustar,vestir,fixar
sapato|pé,vestir,andar,proteção,uso
chinelo|pé,leve,conforto,andar,casual
bolsa|carregar,objetos,alça,uso,transporte
carteira|dinheiro,cartão,guardar,pequeno,bolso
moeda|dinheiro,metal,troco,valor,pequeno
nota|dinheiro,papel,valor,troca,uso
cartão|pagamento,plástico,banco,comprar,uso
cadeado|trancar,segurança,metal,chave,fechar
tranca|segurança,porta,fechar,metal,proteção
interruptor|luz,ligar,desligar,parede,controle
tomada|energia,parede,ligar,cabo,elétrico
abajur|luz,mesa,ambiente,iluminar,decoração
lâmpada|luz,energia,iluminar,vidro,ambiente
microfone|voz,som,gravar,áudio,falar
alto-falante|som,áudio,volume,música,emitir
